Name,District-ID,District,Cordenate-X,Cordenate-Y,latitude,longitude,Type
Centro Deportivo Municipal Playa Victoria,6.0,tetuan,440472.0,4478972.0,404592763472204,-37021136988422496,['Gimnasios']
Centro Deportivo Municipal Pradillo,5.0,chamartin,443049.0,4477822.0,4044910622626730,-3671618277009410,['Gimnasios']
Centro Deportivo Municipal Pueblo Nuevo,15.0,ciudad lineal,445948.0,4475892.0,4043003240158620,-3638536354805480,['Gimnasios']
Centro Deportivo Municipal Raúl González,17.0,villaverde,441882.0,4466411.0,40346220026067000,-3684337728806360,['Gimnasios']
Centro Deportivo Municipal San Blas,20.0,san blas-canillejas,448146.0,4475532.0,40428810107016496,-36113273589762304,['Gimnasios']
Centro Deportivo Municipal San Cristóbal,17.0,villaverde,441274.0,4466022.0,4034267317099490,-36914487380508800,['Gimnasios']
Centro Deportivo Municipal San Fermín,12.0,usera,441197.0,4469644.0,4037530577421290,-36927010241442896,['Piscinas']
Centro Deportivo Municipal San Juan Bautista,15.0,ciudad lineal,444154.0,4477763.0,4044864976316050,-36585711797466800,['Gimnasios']
Centro Deportivo Municipal Santa Ana,8.0,fuencarral-el pardo,440994.0,4483276.0,4049809469315440,-3696358010199940,['CamposEstadiosFutbol']
Centro Deportivo Municipal Tenis Casa de Campo,9.0,moncloa-aravaca,437586.0,4474794.0,40421436625700496,-3735739625664770,['PistasTenisBadminton']
Centro Deportivo Municipal Triángulo de Oro,6.0,tetuan,441265.0,4479615.0,4046512519238620,-36928208378255800,['Gimnasios']
Centro Deportivo Municipal Vallecas,13.0,puente de vallecas,444221.0,4471294.0,40390368919782400,-3657213682860770,['Piscinas']
Centro Deportivo Municipal Vallehermoso,7.0,chamberi,439867.0,4476908.0,4044064843863940,-3709053489027430,['Gimnasios']
Centro Deportivo Municipal Vicente del Bosque,8.0,fuencarral-el pardo,441216.0,4481146.0,404789135943213,-3693540659747280,['Gimnasios']
Centro Deportivo Municipal Wilfred Agbonavbare (antiguo Alberto García),13.0,puente de vallecas,444187.0,4469302.0,40372421418063400,-36574515621755104,['Gimnasios']
Centro Deportivo Municipal Ángel Nieto (antiguo Puente de Vallecas),13.0,puente de vallecas,443998.0,4471417.0,4039146194707860,-36598636029775800,['Gimnasios']
Estadio Vallehermoso (centro deportivo),7.0,chamberi,439868.0,4476906.0,4044063826273840,-37090268576934496,['CamposEstadiosFutbol']
Instalación Deportiva Municipal Básica Parque de la Vicalvarada (centro deportivo),19.0,vicalvaro,448447.0,4473531.0,4041079351896060,-3607616723630340,['CamposEstadiosFutbol']
Instalación Deportiva Municipal Básica Torrespaña - Fuente del Berro (centro deportivo),4.0,salamanca,443937.0,4474729.0,4042129422167340,-36608740643380400,['CamposEstadiosFutbol']
Instalación Deportiva Municipal Básica Victoria Hernández (El Espinillo II - centro deportivo),17.0,villaverde,441734.0,4468008.0,4036060552171130,-3686214416479880,['CamposEstadiosFutbol']
CUNEF Universidad,9.0,moncloa-aravaca,439058.0,4478350.0,4045357920636980,-3718717277671810,University
Escuela de Práctica Jurídica,1.0,centro,439846.0,4475175.0,4042503530088560,-37091370642279200,University
Escuela Superior de Diseño,14.0,moratalaz,444948.0,4473366.0,4040908310416650,-3648827535580880,University
Escuela Universitaria de Enfermería. Fundación Jiménez Díaz,9.0,moncloa-aravaca,439048.0,4476701.0,4043868151604700,-3718288587745240,University
Escuela Universitaria de Magisterio ESCUNI,11.0,carabanchel,436405.0,4470042.0,4037853024498560,-37491851721721000,University
ESERP Madrid Business School,5.0,chamartin,442773.0,4478893.0,40458735409110600,-3674957593336750,University
IADE Escuela de Diseño,4.0,salamanca,441793.0,4475397.0,4042716467505720,-36862066802199000,University
Instituto de Estudios Bursátiles (IEB),3.0,retiro,441408.0,4474455.0,4041866066190480,-3690658377502490,University
Instituto de Salud Carlos III. Escuela Nacional de Medicina del Trabajo,8.0,fuencarral-el pardo,441184.0,4480675.0,4047467830039230,-3693859963015040,University
Saint Louis University Madrid Campus,7.0,chamberi,439155.0,4477243.0,4044361453210150,-3717468514879230,University
Schiller International University Madrid Campus,5.0,chamartin,441902.0,4477463.0,4044579288485750,-3685098971840810,University
Suffolk University Madrid Campus,7.0,chamberi,439057.0,4477288.0,4044401273259770,-37186283366452704,University
Universidad Abierta de Cataluña (Universitat Oberta de Catalunya). UOC,1.0,centro,440990.0,4474144.0,4041582948601850,-36955563094397,University
Universidad Antonio de Nebrija. Campus de la Dehesa de la Villa,9.0,moncloa-aravaca,439057.0,4478349.0,4045357063654990,-37187301533847296,University
Universidad Antonio de Nebrija. Campus de Madrid-Princesa,1.0,centro,439522.0,4475677.0,4042953411939230,-37129922244057800,University
Universidad Antonio de Nebrija. Centro Universitario San Rafael - Nebrija,5.0,chamartin,442213.0,4478144.0,4045195424833410,-36814870493492200,University
Universidad Antonio de Nebrija. Edificio Joaquín María López,7.0,chamberi,439259.0,4476605.0,4043787436557180,-3716177496227910,University
Universidad Autónoma de Madrid. Escuela Politécnica Superior,8.0,fuencarral-el pardo,441437.0,4488694.0,4054692419691820,-3691631796713080,University
Universidad Autónoma de Madrid. Escuela Universitaria de Enfermería de la Cruz Roja,9.0,moncloa-aravaca,439817.0,4477640.0,4044723898268860,-37097123606246704,University
Universidad Autónoma de Madrid. Escuela Universitaria de Fisioterapia de la ONCE,8.0,fuencarral-el pardo,440004.0,4482813.0,40493852846462304,-37079965907927400,University
Universidad Autónoma de Madrid. Facultad de Ciencias,8.0,fuencarral-el pardo,441133.0,4488524.0,405453713128424,-3695194095239850,University
Universidad Autónoma de Madrid. Facultad de Ciencias Económicas y Empresariales,8.0,fuencarral-el pardo,441012.0,4488468.0,4054486725066380,-36966178198810896,University
Universidad Autónoma de Madrid. Facultad de Derecho,8.0,fuencarral-el pardo,441478.0,4488101.0,4054159425362620,-36910810023669904,University
