 ID-EVENTO,Title,District,X-coordinate,Y-coordinate,Latitude,Length,Type
11952939,Primera semifinal. VII Torneo de Dramaturgia,centro,440597.0,4474036.0,4041482868269550.0,-3.70016635995621e+16,['TeatroPerformance']
11951864,Pristina,latina,436578.0,4473235.0,4.04073163281804e+16,-3747465416906970.0,['DanzaBaile']
11920609,"Probando, probando?Improvisando teatro",ciudad lineal,444580.0,4477056.0,4.04423111007912e+16,-3.65348062463119e+16,['CursosTalleres']
11934701,Producción artística,usera,439248.0,4469889.0,4037738097077750.0,-3715659887802670.0,"['DanzaBaile', 'FolcloreEtnica']"
11940960,Programa comisariado por Renata Cervetto,arganzuela,440946.0,4471422.0,4039130985242180.0,-3.6958028442054e+16,['CursosTalleres']
11944676,Programa de actividades en el Centro Cultural Miguel Hernández (Latina),latina,433622.0,4470101.0,4.03788537971283e+16,-3.78196161130321e+16,['CircoMagia']
11909518,Programa Juvenil de Villaverde - Invierno 2023,unknown,Unknown,Unknown,Unknown,Unknown,['ActividadesCalleArteUrbano']
11932129,Proyección de cortos,usera,440301.0,4469524.0,4.03741662486482e+16,-3.70322203088085e+16,['CineActividadesAudiovisuales']
11884631,Proyecto Cuarto Propio con la Wikipedia Feminista,arganzuela,440676.0,4471620.0,4039307289237460.0,-3699005654074820.0,['CursosTalleres']
11949940,Proyecto Fahrenheit 451 Personas-libro,centro,439775.0,4473962.0,4041410290844660.0,-3.70985912127358e+16,['CursosTalleres']
11693861,Psicosis 4.48,centro,440597.0,4474036.0,4041482868269550.0,-3.70016635995621e+16,['TeatroPerformance']
11948222,"Puesta en escena. Herramientas humorísticas. Lenguaje corporal, gesto, voz, ritmo",fuencarral-el pardo,441892.0,4485296.0,4051635495615330.0,-3685946562681170.0,['CursosTalleres']
11938408,Pura habladuría,carabanchel,438232.0,4470949.0,4038684744124120.0,-3727740326743950.0,['TeatroPerformance']
11937079,Pura habladuría,latina,436578.0,4473235.0,4.04073163281804e+16,-3747465416906970.0,"['TeatroPerformance', 'ComediaMonologo']"
11735901,Que de noche lo mataron,salamanca,441476.0,4475151.0,4.04249263476107e+16,-3.68992085196634e+16,['ProgramacionDestacadaAgendaCultura']
11948120,Qué planeta reinaría,arganzuela,440946.0,4471422.0,4039130985242180.0,-3.6958028442054e+16,['ProgramacionDestacadaAgendaCultura']
11948113,Qué planeta reinaría,arganzuela,440946.0,4471422.0,4039130985242180.0,-3.6958028442054e+16,['ProgramacionDestacadaAgendaCultura']
11948112,Qué planeta reinaría,arganzuela,440946.0,4471422.0,4039130985242180.0,-3.6958028442054e+16,['ProgramacionDestacadaAgendaCultura']
11948100,Qué planeta reinaría,arganzuela,440946.0,4471422.0,4039130985242180.0,-3.6958028442054e+16,['ProgramacionDestacadaAgendaCultura']
11953385,Qué viva la estulticia,retiro,441967.0,4474495.0,4041906024374350.0,-3.68406153879269e+16,['TeatroPerformance']
11948103,"Queridas viejas, editando a Gombrich. Sesión 20. Filmoteca de Cantabria, Santander, 24 Nov. 2020",arganzuela,440946.0,4471422.0,4039130985242180.0,-3.6958028442054e+16,['ProgramacionDestacadaAgendaCultura']
11940811,Raíces de Chile,latina,436578.0,4473235.0,4.04073163281804e+16,-3747465416906970.0,"['DanzaBaile', 'FolcloreEtnica']"
11905929,Raquel Lúa cuarteto - Retiro,retiro,441967.0,4474495.0,4041906024374350.0,-3.68406153879269e+16,['1ciudad21distritos']
11905927,Raquel Lúa dúo - Chamberi,chamberi,439741.0,4476139.0,4043371190964790.0,-3.71045435979577e+16,['1ciudad21distritos']
11941402,Raúl Santana &amp; María Barrios,latina,437830.0,4473132.0,4040647389284970.0,-3.7327010920242e+16,['Musica']
11833849,Reading Club: Club de lectura en inglés,san blas-canillejas,448214.0,4476029.0,4.04332916259736e+16,-3.61056623119274e+16,['ClubesLectura']
11761088,Reading Club: Club de lectura en inglés,tetuan,439755.0,4478779.0,4045749513485950.0,-3710539712535910.0,['ClubesLectura']
11760908,Reading Club: Club de lectura en inglés,centro,440645.0,4475347.0,4.04266422153681e+16,-3699722994908340.0,['ClubesLectura']
11793731,Reading Club: Club de lectura en inglés,chamartin,442766.0,4477922.0,4044810636195710.0,-3.67623096200973e+16,['ClubesLectura']
11940213,Rebanda de Vallecas,puente de vallecas,442974.0,4470850.0,4.03862936848018e+16,-3.67186580066619e+16,['Musica']
11955875,Recital de poesía ucraniana por José Andrés Álvaro Ocáriz,hortaleza,444461.0,4482397.0,4049041562546540.0,-3655356751728000.0,['RecitalesPresentacionesActosLiterarios']
11955950,Recital poético de Eva López del Pino,fuencarral-el pardo,439867.0,4481122.0,4047860087334550.0,-3.70944083429799e+16,['RecitalesPresentacionesActosLiterarios']
11957677,Recitando desde el Siglo de Oro,villa de vallecas,448550.0,4470424.0,4038281899948720.0,-3606140062044450.0,['ConferenciasColoquios']
11754610,Reconstruyendo mi autoestima,villaverde,439286.0,4466819.0,403497106325215.0,-3.71494162910067e+16,['CursosTalleres']
11958977,Recreación histórica  2 de mayo Madrid,villa de vallecas,448205.0,4469500.0,4037447621683760.0,-3.61012915503142e+16,['ActividadesCalleArteUrbano']
11884698,Red de Ganchilleras,arganzuela,440676.0,4471620.0,4039307289237460.0,-3699005654074820.0,['CursosTalleres']
